ThreadIndex,GroupId(X Y Z),ThreadId(X Y Z),DispatchThreadId(X Y Z),GroupID
0,<0 0 0>,<0 0 0>,<0 0 0>,0
1,<0 0 1>,<0 0 1>,<0 0 1>,0
2,<0 2 0>,<0 2 0>,<0 2 0>,0
3,<3 0 0>,<3 0 0>,<3 0 0>,0
4,<0 0 4>,<0 0 4>,<0 0 0>,5
5,<0 5 0>,<0 5 0>,<0 0 6>,0
6,<6 0 0>,<6 0 0>,<0 7 0>,0
7,<0 0 7>,<0 0 0>,<8 0 0>,8
8,<0 8 0>,<0 0 9>,<0 0 9>,0
9,<9 0 0>,<0 0 1>,<0 0 1>,0
10,<0 0 0>,<1 1 0>,<1 1 0>,11
11,<0 0 2>,<1 0 2>,<1 0 12>,0
12,<0 3 1>,<0 3 1>,<0 13 0>,0
13,<4 1 0>,<4 1 0>,<14 0 0>,0
14,<1 0 5>,<1 0 15>,<0 0 0>,6
15,<0 6 1>,<0 16 0>,<0 0 7>,1
16,<7 1 0>,<17 0 0>,<0 8 1>,0
17,<1 0 18>,<0 0 0>,<9 1 0>,9
18,<0 19 0>,<0 0 0>,<2 0 0>,2
19,<20 0 0>,<0 1 2>,<0 1 2>,0
20,<0 0 0>,<2 2 0>,<2 2 0>,22
21,<0 0 3>,<2 0 3>,<2 0 23>,0
22,<0 4 2>,<0 4 2>,<0 24 0>,0
23,<5 2 0>,<5 2 0>,<25 0 0>,0
24,<2 0 6>,<2 0 26>,<0 0 0>,7
25,<0 7 2>,<0 27 0>,<0 0 8>,2
26,<8 2 0>,<28 0 0>,<0 9 2>,0
27,<2 0 29>,<0 0 0>,<0 3 0>,0
28,<0 30 0>,<0 0 1>,<3 0 1>,3
29,<31 0 0>,<0 2 3>,<0 2 3>,0
30,<0 0 0>,<3 3 0>,<3 3 0>,33
31,<0 0 4>,<3 0 4>,<3 0 34>,0
32,<0 5 3>,<0 5 3>,<0 35 0>,0
33,<6 3 0>,<6 3 0>,<36 0 0>,0
34,<3 0 7>,<3 0 37>,<0 0 0>,8
35,<0 8 3>,<0 38 0>,<0 0 9>,3
36,<9 3 0>,<39 0 0>,<0 0 4>,0
37,<4 0 40>,<0 0 0>,<1 4 0>,1
38,<0 41 0>,<0 0 2>,<4 0 2>,4
39,<42 0 0>,<0 3 4>,<0 3 4>,0
40,<0 0 0>,<4 4 0>,<4 4 0>,44
41,<0 0 5>,<4 0 5>,<4 0 45>,0
42,<0 6 4>,<0 6 4>,<0 46 0>,0
43,<7 4 0>,<7 4 0>,<47 0 0>,0
