NAME, X, Y, Z, W, SUM
Pos, -0.866026,0.499999,1.05639, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -0.642788,0.766044,1.05639, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -0.564977,0.673313,1.05639, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -0.761191,0.439473,1.05639, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, 0,0,-12.1371, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, 0.34202,0.939693,-12.1371, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, 0,1,-12.1371, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, 0,1,1.05639, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, 0,1,-12.1371, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, 0.34202,0.939693,-12.1371, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, 0.34202,0.939693,1.05639, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -0.642787,-0.766045,1.05639, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -0.866025,-0.5,1.05639, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -0.761191,-0.439474,1.05639, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -0.564976,-0.673313,1.05639, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, 0,0,-12.1371, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, 0.642788,0.766044,-12.1371, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, 0.34202,0.939693,-12.1371, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, 0.34202,0.939693,1.05639, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, 0.34202,0.939693,-12.1371, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, 0.642788,0.766044,-12.1371, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, 0.642788,0.766044,1.05639, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, 0.642788,-0.766044,1.05639, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, 0.34202,-0.939693,1.05639, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, 0.300618,-0.825941,1.05639, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, 0.564977,-0.673313,1.05639, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, 0,0,-12.1371, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, 0.866025,0.5,-12.1371, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, 0.642788,0.766044,-12.1371, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, 0.642788,0.766044,1.05639, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, 0.642788,0.766044,-12.1371, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, 0.866025,0.5,-12.1371, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, 0.866025,0.5,1.05639, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
